# name;gender;quantity

# male single (m;s)
foie gras;m;s
foie d'oie;m;s
lievre;m;s
jambon;m;s
poulet;m;s
surimi;m;s
requin;m;s
cheval;m;s
veau;m;s

# female single (f;s)
oie;f;s
carpe;f;s
dinde;f;s
lotte;f;s
autruche;f;s

# male multiple (m;m)
lardons;m;m
