# name;gender;quantity

a la juive;any;any
a la mexicaine;any;any
methode traditionnelle;any;any
a l'ancienne;any;any
comme a la maison;any;any
recette originale;any;any
perso;any;any
special grandes occasions;m;s
du chef;any;any
a la provencale;any;any
recette de ma grand-mere;any;any
special pizzaiolo;m;s
premium's;any;any
version XXL;any;any
de chez Maxim's;any;any
facon Souabe;any;any
