# name;gender;quantity
glace;m;s
glacee;f;s
glaces;m;p
glacees;f;p

poele;m;s
poelee;f;s
poeles;m;p
poelees;f;p

farci;m;s
farcie;f;s
farcis;m;p
farcies;f;p

roti;m;s
rotie;f;s
rotis;m;p
roties;f;p

chaud;m;s
chaude;f;s
chauds;m;p
chaudes;f;p

grille;m;s
grillee;f;s
grilles;m;p
grillees;f;p

decoupe;m;s
decoupee;f;s
decoupes;m;p
decoupees;f;p

battu;m;s
battue;f;s
battus;m;p
battues;f;p
